,2010_Gangwon,2010_Gyeonggi,2010_Gyeongnam,2010_Gyeongbuk,2010_Gwangju,2010_Daegu,2010_Daejeon,2010_Busan,2010_Seoul,2010_Ulsan,2010_Incheon,2010_Jeonnam,2010_Jeonbuk,2010_Jeju,2010_Chungnam,2010_Chungbuk
2010_Gangwon,0.0,0.00849491849207534,6.545504791607839,0.47688080645736397,0.4471119997328932,0.3230088982306663,0.7364961618115313,0.029605809341178735,0.01185869936110317,0.13356718901093045,7.014201680055317e-05,0.37242640379895586,0.2256465354927077,5.701812669430856,0.6103753272239103,0.0018961612041467311
2010_Gyeonggi,0.00849491849207534,0.0,5.759024597119652,0.3656116165797564,0.49769643739548264,0.23104295657414745,0.6955247303705987,0.016092875674004976,0.006085553006033783,0.08110992325358121,0.008121376963089528,0.4421152444270258,0.28771255585625577,6.367182590993511,0.6255912392433551,0.005198590960886032
2010_Gyeongnam,6.545504791607839,5.759024597119652,0.0,1.4810233021238242,6.549380560485735,2.1331013636122447,2.5332301633941947,5.8523160469488085,5.697283789481639,3.5233165076797954,6.504353304893636,7.712440636874765,7.901467995164325,9.404222599337775,4.660271159550505,6.2202540237121555
2010_Gyeongbuk,0.47688080645736397,0.3656116165797564,1.4810233021238242,0.0,0.8779767327959702,0.01580228934888324,0.4292487723410141,0.42403601652098,0.3481796121977329,0.10383896845420099,0.4694519534054609,0.996863507212665,0.8753422701066604,8.69757990506473,0.7105814768668468,0.42441449233319645
2010_Gwangju,0.4471119997328932,0.49769643739548264,6.549380560485735,0.8779767327959702,0.0,0.7893818220883185,0.24146249385277316,0.7237862916967104,0.3917148047638854,0.5278688020746736,0.4369625294796343,0.019191671104269815,0.058253175417432544,1.619862946201415,0.04851036519564722,0.4160597392831592
2010_Daegu,0.3230088982306663,0.23104295657414745,2.1331013636122447,0.01580228934888324,0.7893818220883185,0.0,0.4675282539088561,0.26955043188294636,0.22408224568802218,0.04442605914470401,0.3175954155138784,0.8691163704519764,0.7300545145613893,8.599655981142037,0.6852339628332043,0.28253856654790543
2010_Daejeon,0.7364961618115313,0.6955247303705987,2.5332301633941947,0.4292487723410141,0.24146249385277316,0.4675282539088561,0.0,0.988339370059031,0.561892808592137,0.41749582658734563,0.7188683649587404,0.38424517134269376,0.4404493074929414,3.1311736442162865,0.08248270864243032,0.6575090442085081
2010_Busan,0.029605809341178735,0.016092875674004976,5.8523160469488085,0.42403601652098,0.7237862916967104,0.26955043188294636,0.988339370059031,0.0,0.04297950603473823,0.12755311196033203,0.031123735712418617,0.629671278412689,0.42884642404336437,7.2421346649254215,0.9078038061940934,0.0332448559948098
2010_Seoul,0.01185869936110317,0.006085553006033783,5.697283789481639,0.3481796121977329,0.3917148047638854,0.22408224568802218,0.561892808592137,0.04297950603473823,0.0,0.06999306650277756,0.010315247095458533,0.3540982435058514,0.22383203239265242,5.870346416510624,0.4943316958354745,0.004288517237234487
2010_Ulsan,0.13356718901093045,0.08110992325358121,3.5233165076797954,0.10383896845420099,0.5278688020746736,0.04442605914470401,0.41749582658734563,0.12755311196033203,0.06999306650277756,0.0,0.12942375979001747,0.5599532408343574,0.4312202900407056,7.261360043993398,0.5093707574499264,0.10614040113789153
2010_Incheon,7.014201680055317e-05,0.008121376963089528,6.504353304893636,0.4694519534054609,0.4369625294796343,0.3175954155138784,0.7188683649587404,0.031123735712418617,0.010315247095458533,0.12942375979001747,0.0,0.365228811854435,0.22080603757926498,5.678313438885687,0.5956466361358276,0.0012971470545285724
2010_Jeonnam,0.37242640379895586,0.4421152444270258,7.712440636874765,0.996863507212665,0.019191671104269815,0.8691163704519764,0.38424517134269376,0.629671278412689,0.3540982435058514,0.5599532408343574,0.365228811854435,0.0,0.01869968220326043,1.5999384415135203,0.12827460709773383,0.3569369157119223
2010_Jeonbuk,0.2256465354927077,0.28771255585625577,7.901467995164325,0.8753422701066604,0.058253175417432544,0.7300545145613893,0.4404493074929414,0.42884642404336437,0.22383203239265242,0.4312202900407056,0.22080603757926498,0.01869968220326043,0.0,2.253872897925654,0.19293456261417008,0.21812886743400423
2010_Jeju,5.701812669430856,6.367182590993511,9.404222599337775,8.69757990506473,1.619862946201415,8.599655981142037,3.1311736442162865,7.2421346649254215,5.870346416510624,7.261360043993398,5.678313438885687,1.5999384415135203,2.253872897925654,0.0,1.858339401127271,5.735420885110506
2010_Chungnam,0.6103753272239103,0.6255912392433551,4.660271159550505,0.7105814768668468,0.04851036519564722,0.6852339628332043,0.08248270864243032,0.9078038061940934,0.4943316958354745,0.5093707574499264,0.5956466361358276,0.12827460709773383,0.19293456261417008,1.858339401127271,0.0,0.5540875118141185
2010_Chungbuk,0.0018961612041467311,0.005198590960886032,6.2202540237121555,0.42441449233319645,0.4160597392831592,0.28253856654790543,0.6575090442085081,0.0332448559948098,0.004288517237234487,0.10614040113789153,0.0012971470545285724,0.3569369157119223,0.21812886743400423,5.735420885110506,0.5540875118141185,0.0
