,r5_Gangwon,r5_Gyeonggi,r5_Gyeongnam,r5_Gyeongbuk,r5_Gwangju,r5_Daegu,r5_Daejeon,r5_Busan,r5_Seoul,r5_Ulsan,r5_Incheon,r5_Jeonnam,r5_Jeonbuk,r5_Jeju,r5_Chungnam,r5_Chungbuk,r6_Gangwon,r6_Gyeonggi,r6_Gyeongnam,r6_Gyeongbuk,r6_Gwangju,r6_Daegu,r6_Daejeon,r6_Busan,r6_Seoul,r6_Sejong,r6_Ulsan,r6_Incheon,r6_Jeonnam,r6_Jeonbuk,r6_Jeju,r6_Chungnam,r6_Chungbuk,r7_Gangwon,r7_Gyeonggi,r7_Gyeongnam,r7_Gyeongbuk,r7_Gwangju,r7_Daegu,r7_Daejeon,r7_Busan,r7_Seoul,r7_Sejong,r7_Ulsan,r7_Incheon,r7_Jeonnam,r7_Jeonbuk,r7_Jeju,r7_Chungnam,r7_Chungbuk
r5_Gangwon,0.0,0.008500380688772714,11.60547705958206,0.5256543613388063,0.3888938541123811,0.34689533200322076,0.5285675554359117,0.03104975671829461,0.011249837237616567,0.13254829501699983,6.948923778778105e-05,0.36351101385291174,0.22220126905929893,9.810588237610071,0.4560085210236596,0.001842891889855161,0.005261975316932974,0.003862644989948918,0.023904362156681108,0.2630130165866076,1.2458040560285093,0.004815231993760306,0.007744964133841843,9.700990233791016,0.03137661592249602,0.03951977484267646,9.604853114372311,0.003330906284295507,0.6072637585089521,0.2739289648940138,0.02784510895009838,0.021424187673495493,0.006649446464406588,0.07687436499402306,0.07550104218595113,0.023738336295670605,0.09070158520224855,0.9113488586659593,0.018278311997374758,0.1135918766080303,0.060669386665993745,0.2837308218798745,0.31426107767088973,0.044348149025606194,0.06992239081908116,1.0943982853427072,1.2930147624819317,1.4118756935355832,0.06951665598112455,0.13194246468100435
r5_Gyeonggi,0.008489456295377965,0.0,10.145785512026128,0.39852906933584126,0.46363225677889197,0.24610634058571265,0.5009917626305941,0.018411138876581277,0.005711809574528302,0.07872939272276941,0.008122265404332668,0.45503554072209706,0.2966508580071779,11.149379892147854,0.49646766093551,0.005202618092166587,0.00038566710460618474,0.003438459816435417,0.04938594558562458,0.3591716999371502,1.050491973991148,0.02166605671291398,0.00017610461284712836,11.05485404020074,0.014898827843940206,0.020518270943538863,10.972659223051128,0.003982856910351374,0.46841798134330614,0.18985771099182883,0.05731661378879066,0.005818440296612382,0.0005672438514658304,0.03775480869209728,0.03968546233812206,0.006055787523825688,0.10814630046592186,0.7233162001344579,0.031512883081567036,0.07034652907415223,0.02942399406297601,0.221150481452678,0.21941138451422948,0.020777442110276198,0.03323480490784386,0.8915630200770733,1.0723584837486513,1.2349957221104324,0.029140732808233163,0.07897683433993499
r5_Gyeongnam,1.4855325236336179,1.3722636822131744,0.0,0.45041737158563083,0.8620516679657655,0.6175762029819033,0.2787527578505261,1.9016254120915088,1.155747467589349,0.758964474852644,1.4535228203503205,1.0701359871905196,1.1064431912713064,10.071922213832062,0.5846521313963478,1.3371349706712394,1.3976913739083714,1.5713431586444573,1.2064538190855316,1.4190522514364994,0.06734511792929394,1.3621838992784836,1.335930329053628,10.166952542269316,1.7790814273214008,1.8425691290076087,10.297290713337405,1.5789740380787547,0.41007772601001624,0.5814895684642929,1.237937973733954,1.1222963928398761,1.3195874418319862,1.5891393081268426,0.8485791745327965,1.1282384795518356,0.7915258615808005,0.5359637828419519,1.1069103211010805,0.7042002262039874,0.9026343281948592,0.36775222990510953,0.6366429804549104,0.9410113925612839,0.9236590101811363,0.26424910480065295,0.15917572486819245,0.03760348080971399,1.1739890716029544,0.7449718448748739
r5_Gyeongbuk,0.4281072515759217,0.33269416382367156,2.5116292326620173,0.0,0.9082008600664516,0.015500977495025083,0.424280445346281,0.4431991893147553,0.30278548042174,0.09246399330079053,0.41939378210958167,1.009376728087257,0.8269715829796676,16.103606467479242,0.744790441697676,0.37461755060995516,0.35218966468913593,0.4082422124194395,0.466257126428666,1.0250951524982665,0.1733614061980645,0.4443504409844613,0.3287149212692402,16.106588983014078,0.39991247840984,0.4081239444366781,16.122444264540068,0.41438730809938595,0.0019127758319551179,0.027272778517199017,0.4943787463393089,0.25740745078484417,0.3312432847658631,0.2914815043090508,0.14925091408474717,0.25092805917116956,0.3943534087648341,0.041967394403326294,0.384429198373823,0.11461746695092453,0.16999997934829597,0.08880113688808516,0.021121003135721617,0.20055382305235742,0.15668795120613171,0.060865529793758644,0.11333349752869996,0.3829336927499118,0.19224298075477966,0.09295939933381832
r5_Gwangju,0.5053301453534053,0.5317606180120733,12.236709453005705,0.8477526055254887,0.0,0.7283095558132324,0.2533767336585381,0.8560283345626942,0.39808291644113064,0.4749752756036655,0.4898146374046577,0.019622306086942556,0.06261177161179196,2.9487451644601665,0.04851316399684416,0.44969083429368145,0.5261895180783158,0.5994311842496062,0.27586478888250865,0.14492174629808965,1.2992545446203756,0.3970676204182978,0.5066017620438674,2.876785457604821,0.807554368067184,0.8590624394563927,2.8360765606007825,0.5980130426494675,0.920698618055003,0.5917293579277834,0.2750111122661465,0.43469648581697806,0.48958028951587085,0.8363951838068683,0.40869955328723856,0.4494634601175407,0.11606406654738213,1.3733200872150497,0.2797597991426098,0.38300875296830095,0.4090714234983223,0.369575498236395,0.6944694777618752,0.38448029840486636,0.4522119717840296,1.378732825441983,1.498625038622874,1.2641175289184416,0.60932657096645,0.46265935158444915
r5_Daegu,0.29912246445811186,0.21597957256258224,3.648626524242586,0.016103601202741395,0.8504540883634046,0.0,0.43959851848701026,0.2865165215783345,0.2031887273195284,0.0415120772249845,0.293042427424126,0.9304460192497731,0.736351035123417,15.875346002828955,0.7197138952824114,0.2584237237359476,0.23264220635485594,0.274017634357127,0.3590128626495079,0.9094913305846077,0.28791591646051007,0.3243879826431858,0.21471099483225992,15.85970798739276,0.2536378070576675,0.2577919854045194,15.85536096411634,0.27934952275976466,0.029519460455809013,0.006339290818598653,0.3843372522347392,0.1627970723560684,0.21823976632244602,0.16741719585838602,0.08388526159532161,0.15633519774688615,0.32687414524914266,0.0911379892179025,0.286521543376456,0.06496458903307484,0.09844055840390434,0.08257966136170262,0.0005993122448051144,0.1234763094361173,0.08499308606239812,0.14864572310808916,0.22807403545152335,0.5104337850219938,0.10101805243873585,0.04295284936781736
r5_Daejeon,0.9444247681871509,0.8900576981106032,4.787707568937863,0.43421709933574726,0.22954825404700824,0.495457989330702,0.0,1.3838841657319088,0.6856332005756847,0.4722312470702256,0.9166207496067952,0.36891543261467175,0.43652530594829797,5.919175961339683,0.08018014260907023,0.824362458217985,0.9026708754472935,1.0475780955259681,0.6459320534724158,0.6630666117393484,0.3446790680173879,0.8095773017330952,0.8544237470371474,5.952970553070694,1.283516383493862,1.3489256386749537,6.023205726670774,1.0514363190683627,0.438039302767821,0.4091247548739432,0.6636815356539129,0.6844328005398317,0.8353352529946813,1.1788733646236647,0.4977913759953522,0.6958535679119823,0.2983026836135454,0.7182408083521117,0.5894185017966245,0.39118558596932895,0.5326426639999813,0.15598788312538958,0.49308471402361675,0.5444410903562908,0.5678134749138967,0.5302650553199768,0.5033364118691656,0.2815259698695447,0.8051587690544606,0.45709378462536165
r5_Busan,0.028161861964062864,0.013774612471428676,9.803006681806108,0.40487284372720467,0.5915442488307264,0.25258434218755815,0.5927945743861535,0.0,0.034299468996792905,0.10041811043994223,0.029302391873619424,0.5822886785628487,0.4007816381570358,12.24751125021937,0.6181446726549941,0.029598394254873397,0.01526404510668725,0.011657795689158378,0.09930361406535246,0.4641779602168057,1.0683880743301692,0.055021918951657464,0.01669599336321427,12.152680422763186,0.000620471323325396,0.0011548758776325097,12.06807205769027,0.012549979782718908,0.47286812873644185,0.206892922584137,0.10867968953704053,0.029275858966257586,0.019087872167647298,0.019810142693142074,0.06661334698155119,0.027731168364698914,0.17958377149750432,0.7006995004328322,0.07753114729102367,0.10210179540252937,0.05586739354184522,0.26728724873521664,0.2274276522973485,0.04990263356433708,0.05487861836296677,0.883792749174405,1.0684876703094428,1.2780858050300283,0.03361745739487626,0.10207957981958858
r5_Seoul,0.012467561484589773,0.006459296437539265,10.23882011137393,0.3935737439737258,0.38534669308664027,0.24497576405651597,0.4381524166085893,0.05165954307268354,0.0,0.07167119285780751,0.010751144898607616,0.3798216864114644,0.23857319245518904,10.433956812421549,0.4183644891822246,0.0043912563393097015,0.0064470855069484675,0.01583633506330097,0.03014990519208281,0.30359548387722823,1.025500647515381,0.015242484804674732,0.004436962625821217,10.341944967077263,0.044053711140607646,0.053625896954626884,10.263890740848435,0.01624552594995826,0.46332218819569887,0.18223747962363956,0.03744648646597963,0.002969528956342286,0.0033467102643102153,0.06664529962966759,0.030858514436040353,0.00441376408334525,0.06938283415918903,0.7339126607069363,0.013765660480923226,0.05629753203747522,0.021693164542355977,0.19196290975678587,0.21785920941632134,0.011910792139828947,0.028777129558221794,0.8873028897604359,1.0621122948540767,1.1913070856559467,0.03875018453259521,0.07084212862937844
r5_Ulsan,0.13458608300486108,0.08349045378439302,6.287668540506947,0.11521394360761146,0.5807623285456818,0.04734004106442352,0.3627604061044656,0.1546881134807218,0.06831494014774761,0.0,0.12971530600637038,0.6275841399909763,0.4617013963537653,13.344804402288275,0.51599802681912,0.10507468185195792,0.09328129185563179,0.12435239663908701,0.16808224668329805,0.5923449937670021,0.5238288374177215,0.1465850031820176,0.08102755491883323,13.299449749545877,0.13032107307591492,0.13825761577664186,13.267118455533282,0.12764842213452038,0.1512430865626502,0.02324995976129721,0.1858946296901302,0.04653362538208706,0.08209709040310131,0.08778316323943812,0.008179430634272407,0.043742574824050376,0.15675191299779223,0.3033190286856911,0.11877377470507823,0.004994264570958137,0.013632940231933937,0.0639815677010668,0.0366146486788309,0.0241963290620954,0.009774584059806562,0.39339216965212737,0.5087791567162512,0.71594638641119,0.02906517422416098,9.102387243920028e-05
