광역시도,pop,minju,hanguk,gita,minju_rate,hanguk_rate,gita_rate
강원도,819193.0,518447.0,282456.0,18290.0,0.6328752809167071,0.34479786814584595,0.022326850937446976
경기도,6084955.0,3370621.0,2122433.0,591901.0,0.5539270216460105,0.3488001143804679,0.09727286397352158
경상남도,1819391.0,941491.0,765809.0,112091.0,0.517475902650942,0.42091502046563933,0.061609076883418684
경상북도,1457539.0,482564.0,732785.0,242190.0,0.3310813638605897,0.502754986315975,0.16616364982343526
광주광역시,694252.0,573995.0,34487.0,85770.0,0.8267819178050622,0.049675045948733315,0.12354303624620455
대구광역시,1172279.0,458112.0,619165.0,95002.0,0.3907875173060338,0.5281720477804345,0.08104043491353168
대전광역시,706983.0,393354.0,224306.0,89323.0,0.5563839583130005,0.3172721267696677,0.12634391491733182
부산광역시,1727684.0,940469.0,632806.0,154409.0,0.5443524394507329,0.3662741566166035,0.08937340393266362
서울특별시,5019098.0,2619497.0,1158487.0,1241114.0,0.5219059281169645,0.23081577606175452,0.24727829582128102
세종특별자치시,137603.0,96896.0,24546.0,16161.0,0.7041706939528934,0.17838273874842844,0.11744656729867808
울산광역시,610698.0,317341.0,240475.0,52882.0,0.519636547033067,0.3937707344710479,0.08659271849588504
인천광역시,1349084.0,766186.0,470937.0,111961.0,0.5679305365714811,0.3490790788416437,0.08299038458687524
전라남도,1092107.0,807902.0,40287.0,243918.0,0.7397645102540319,0.03688924253759018,0.22334624720837792
전라북도,996504.0,682042.0,26374.0,288088.0,0.6844347840048811,0.026466526978316193,0.28909868901680275
제주특별자치도,350943.0,137901.0,11241.0,201801.0,0.3929441533240441,0.03203084261546747,0.5750250040604885
충청남도,1011447.0,615870.0,345577.0,50000.0,0.6088999225861562,0.3416659498718173,0.049434127542026425
충청북도,782316.0,468750.0,227371.0,86195.0,0.5991824275612412,0.2906383098389909,0.11017926259976787
