,2010_Gangwon,2010_Gyeonggi,2010_Gyeongnam,2010_Gyeongbuk,2010_Gwangju,2010_Daegu,2010_Daejeon,2010_Busan,2010_Seoul,2010_Ulsan,2010_Incheon,2010_Jeonnam,2010_Jeonbuk,2010_Jeju,2010_Chungnam,2010_Chungbuk,2014_Gangwon,2014_Gyeonggi,2014_Gyeongnam,2014_Gyeongbuk,2014_Gwangju,2014_Daegu,2014_Daejeon,2014_Busan,2014_Seoul,2014_Sejong,2014_Ulsan,2014_Incheon,2014_Jeonnam,2014_Jeonbuk,2014_Jeju,2014_Chungnam,2014_Chungbuk,2018_Gangwon,2018_Gyeonggi,2018_Gyeongnam,2018_Gyeongbuk,2018_Gwangju,2018_Daegu,2018_Daejeon,2018_Busan,2018_Seoul,2018_Sejong,2018_Ulsan,2018_Incheon,2018_Jeonnam,2018_Jeonbuk,2018_Jeju,2018_Chungnam,2018_Chungbuk
2010_Gangwon,0.0,0.00849491849207534,6.545504791607839,0.47688080645736397,0.4471119997328932,0.3230088982306663,0.7364961618115313,0.029605809341178735,0.01185869936110317,0.13356718901093045,7.014201680055317e-05,0.37242640379895586,0.2256465354927077,5.701812669430856,0.6103753272239103,0.0018961612041467311,0.005262054976852546,0.0038436504906317888,0.025074577390173276,0.24171442706348728,1.1290862106701192,0.004893714633700645,0.00774476853273636,5.5060485315245655,0.030715613545130638,0.038423689005863584,5.3231459147674505,0.0033058825257722144,0.5418918409115707,0.2667007439341905,0.028667673724930315,0.021878529108435296,0.006665461236398677,0.07611801392712894,0.07835291681077877,0.024061976112231456,0.11375977143672832,0.7333338560376335,0.02053106817150167,0.12100565350235576,0.06284458045575517,0.32816133190960406,0.2953240053950622,0.04669920500684899,0.07078990962975562,0.8926073595211099,1.0570843321806238,1.430785838332565,0.06834651631314737,0.1338049584464547
2010_Gyeonggi,0.00849491849207534,0.0,5.759024597119652,0.3656116165797564,0.49769643739548264,0.23104295657414745,0.6955247303705987,0.016092875674004976,0.006085553006033783,0.08110992325358121,0.008121376963089528,0.4421152444270258,0.28771255585625577,6.367182590993511,0.6255912392433551,0.005198590960886032,0.0003859134302880154,0.0033428934822067316,0.049320550447631034,0.3249638493816118,0.9769250128019031,0.02151511313166871,0.000177657797968088,6.190220449006184,0.013620872827185769,0.018634763652166337,6.02686587670808,0.003883787385735628,0.42262558467552025,0.18799811264286953,0.05680480284081573,0.006183101797421856,0.0005727728161517942,0.037054706202760454,0.04264719355251117,0.006345790119970331,0.12601550090596625,0.5825935779370988,0.03268506913645684,0.07789607022232847,0.03159775103592377,0.26591681302078474,0.20800624751239957,0.022862171733589093,0.034460142909830765,0.7343546145989174,0.8895849245187273,1.2904052957427603,0.028669652421447835,0.0820781499129141
2010_Gyeongnam,6.545504791607839,5.759024597119652,0.0,1.4810233021238242,6.549380560485735,2.1331013636122447,2.5332301633941947,5.8523160469488085,5.697283789481639,3.5233165076797954,6.504353304893636,7.712440636874765,7.901467995164325,9.404222599337775,4.660271159550505,6.2202540237121555,5.926751577441277,6.223849957608731,6.9382925022906665,9.074109925792841,0.3596579456038493,6.786987713147445,5.771154842291331,10.530865899683612,5.641443390646615,5.560718621286024,11.82327193103216,6.274014112593923,1.2732275780348423,2.46882055228338,7.122512738883114,5.2693016721755965,5.819703990758143,4.64899991474162,4.226692667145134,5.193816357140521,5.8596473063277426,0.9200828043716326,6.3585340364466285,3.7860548562147174,4.45198352365745,2.609933066995962,2.281537071016726,4.7750518793891485,4.281604817108192,0.575775795965564,0.38403737926570464,0.31912493200799724,4.3661340711511745,3.533098142819491
2010_Gyeongbuk,0.47688080645736397,0.3656116165797564,1.4810233021238242,0.0,0.8779767327959702,0.01580228934888324,0.4292487723410141,0.42403601652098,0.3481796121977329,0.10383896845420099,0.4694519534054609,0.996863507212665,0.8753422701066604,8.69757990506473,0.7105814768668468,0.42441449233319645,0.3882812138512227,0.4385351657218958,0.5422889686589343,1.08188082021407,0.17909167740117754,0.5097439645452114,0.3648150926350334,8.704553781105018,0.38848782637068213,0.3865553969005242,8.741136701318037,0.4456291279760494,0.0018756466197716593,0.029495279484787574,0.5737948161183182,0.2928350112562765,0.37002494195576197,0.2719340250660731,0.17096745691666274,0.2840202058259698,0.44352495508885503,0.03827022973658482,0.44914022663977504,0.13101428666808687,0.19484365840247242,0.09312830199871672,0.021839289030809304,0.2313737240137704,0.17721369552093752,0.05346311927097184,0.10198925310523019,0.4161918936771721,0.2017265653992878,0.10475592168578388
2010_Gwangju,0.4471119997328932,0.49769643739548264,6.549380560485735,0.8779767327959702,0.0,0.7893818220883185,0.24146249385277316,0.7237862916967104,0.3917148047638854,0.5278688020746736,0.4369625294796343,0.019191671104269815,0.058253175417432544,1.619862946201415,0.04851036519564722,0.4160597392831592,0.48653985531306654,0.5286862964991041,0.2548259245507004,0.1289748542749395,1.0549807726547549,0.3567414465166461,0.4775816415291957,1.5417531426605495,0.702978414018536,0.742395299170413,1.4969009071568764,0.5255423929093735,0.9312505380310576,0.6530559671275555,0.2503623435739841,0.43763196450749603,0.4622573568475472,0.7815689740193553,0.4468262220639666,0.45300390006981694,0.12372288294184555,1.3043374313474094,0.27108364180844197,0.4295439306624589,0.4411595305377121,0.4012489037402641,0.7575710244260563,0.4087731594896592,0.48677523096578895,1.2208533825397496,1.245757516669872,0.976265254456881,0.6219251468859552,0.5152660876349273
2010_Daegu,0.3230088982306663,0.23104295657414745,2.1331013636122447,0.01580228934888324,0.7893818220883185,0.0,0.4675282539088561,0.26955043188294636,0.22408224568802218,0.04442605914470401,0.3175954155138784,0.8691163704519764,0.7300545145613893,8.599655981142037,0.6852339628332043,0.28253856654790543,0.24946505048323633,0.28750319023968285,0.39463394465710133,0.9002513677867465,0.29348219946285004,0.3567331828417264,0.2314520927634804,8.56476922657313,0.2422054645379594,0.23999533730746755,8.554912863948111,0.29335837305374846,0.028404914142779233,0.006448035250172904,0.4216185579194252,0.17842633324253726,0.2363914609987166,0.1532622704814921,0.0913827858620479,0.1708121307663935,0.3426479894551556,0.07773528048674594,0.3161696333370442,0.06948806859188049,0.10765999862486436,0.08707659626398667,0.0006053406912038513,0.13570051802856836,0.0924063787391547,0.1287187993694029,0.20197459054147632,0.5615923192156302,0.10388598233996427,0.04595773561890585
2010_Daejeon,0.7364961618115313,0.6955247303705987,2.5332301633941947,0.4292487723410141,0.24146249385277316,0.4675282539088561,0.0,0.988339370059031,0.561892808592137,0.41749582658734563,0.7188683649587404,0.38424517134269376,0.4404493074929414,3.1311736442162865,0.08248270864243032,0.6575090442085081,0.7043386293398051,0.7951596444773806,0.5538199622866088,0.6449725278715421,0.297343293491959,0.6567571856866294,0.6729921181143923,3.172793487774802,0.9316023274728946,0.9693133615007783,3.258045162702068,0.7979098067511919,0.4352018757829972,0.38606289957730555,0.5700649558810471,0.5594393879724366,0.6610608670440986,0.8793297633220518,0.4289790342567993,0.5672006244298837,0.2817514427733253,0.6800837942589489,0.5039810494743748,0.3493186862218526,0.4535684086272162,0.15438225171327546,0.46153813603889293,0.46087774858608666,0.48089603212051535,0.5003085046994746,0.450483129998543,0.2219383636792427,0.646742530093814,0.40535227770299653
2010_Busan,0.029605809341178735,0.016092875674004976,5.8523160469488085,0.42403601652098,0.7237862916967104,0.26955043188294636,0.988339370059031,0.0,0.04297950603473823,0.12755311196033203,0.031123735712418617,0.629671278412689,0.42884642404336437,7.2421346649254215,0.9078038061940934,0.0332448559948098,0.017366959527304854,0.012242192693680745,0.10982562041536872,0.44229238426605944,1.171996526697377,0.05884799961082902,0.019689666115106093,7.016264889051367,0.0006320034780111497,0.0011524217927846954,6.7972749410574425,0.013108486465008878,0.4852597333691444,0.24347117771995816,0.11786878099807788,0.03801680443862844,0.022500962844175312,0.019639998718725522,0.09034916826905982,0.03591956606715704,0.2449655247733849,0.6009628279234076,0.09239558520003024,0.1424184337375051,0.07572131189321818,0.400464614526057,0.24660152013020764,0.06853876666700306,0.07145412883088553,0.815806521132513,1.009526308147073,1.5960266569175268,0.03760528538720048,0.13139484239595542
2010_Seoul,0.01185869936110317,0.006085553006033783,5.697283789481639,0.3481796121977329,0.3917148047638854,0.22408224568802218,0.561892808592137,0.04297950603473823,0.0,0.06999306650277756,0.010315247095458533,0.3540982435058514,0.22383203239265242,5.870346416510624,0.4943316958354745,0.004288517237234487,0.006004028731993986,0.01411956562197155,0.02972365901646508,0.27252897057458664,0.8912493336672636,0.015215790983785225,0.004216448347936087,5.71576375842717,0.03810391023784323,0.04606211680291729,5.578059906950747,0.014489707192145016,0.40295094162018524,0.1722337474731502,0.03684072413875315,0.0029661226080831393,0.0031885224682476673,0.06326172784058323,0.03075095187133389,0.00440994763810457,0.07579746038702218,0.5849902115674085,0.013703696578879626,0.05717076564299037,0.02160349232257442,0.2100707547590064,0.2010307886781652,0.011972090652897158,0.028376714466688376,0.704378374178475,0.8402569926265767,1.1513021015295632,0.03844818123568966,0.06943201508193755
2010_Ulsan,0.13356718901093045,0.08110992325358121,3.5233165076797954,0.10383896845420099,0.5278688020746736,0.04442605914470401,0.41749582658734563,0.12755311196033203,0.06999306650277756,0.0,0.12942375979001747,0.5599532408343574,0.4312202900407056,7.261360043993398,0.5093707574499264,0.10614040113789153,0.09109751198874488,0.11785371795647125,0.1727388750119434,0.5506613428543252,0.4734320388683887,0.1500492568745837,0.07971335010180086,7.178636439350015,0.10911069488207652,0.11269454351652307,7.117971820497692,0.12119714951595109,0.1338577332580752,0.022474001887993686,0.190702998809557,0.04711042561494348,0.08144596809162682,0.07144545473991516,0.008318927275429173,0.04400725928083024,0.15496211056181752,0.2464048118558433,0.12245924986254506,0.005035193519868536,0.013897987671024174,0.07180176912867779,0.03468977424263911,0.024802507013498787,0.009820616004962868,0.31596015539074124,0.4094279286671616,0.7227156706522813,0.026407975479653654,9.132683793573108e-05
